timestamp,difficulty,winner,snake,score,apples,avg_turns,avg_spaces
2026-05-04T15:10:48,easy,player,player,170,17,4.41,40.59
2026-05-04T15:10:48,easy,player,ai,410,41,11.17,165.02
2026-05-04T15:11:44,easy,player,player,120,12,4.08,36.17
2026-05-04T15:11:44,easy,player,ai,560,56,9.68,148.41
2026-05-04T15:12:26,easy,player,player,50,5,5.2,41.0
2026-05-04T15:12:26,easy,player,ai,410,41,11.71,168.61
2026-05-04T15:13:26,easy,player,player,90,9,4.33,43.33
2026-05-04T15:13:26,easy,player,ai,500,50,13.12,190.34
2026-05-04T15:15:47,easy,player,player,330,33,6.12,61.85
2026-05-04T15:15:47,easy,player,ai,540,54,13.04,197.33
2026-05-04T15:16:13,medium,player,player,80,8,3.38,36.0
2026-05-04T15:16:13,medium,player,ai,550,55,2.42,23.0
2026-05-04T15:17:30,medium,player,player,280,28,4.39,44.46
2026-05-04T15:17:30,medium,player,ai,1290,129,2.64,24.04
2026-05-04T15:18:20,medium,player,player,150,15,4.2,38.4
2026-05-04T15:18:20,medium,player,ai,960,96,2.57,25.94
2026-05-04T15:22:32,medium,player,player,250,25,4.76,44.36
2026-05-04T15:22:32,medium,player,ai,1060,106,2.73,24.77
2026-05-04T15:24:31,medium,player,player,270,27,4.37,48.07
2026-05-04T15:24:31,medium,player,ai,990,99,2.51,25.02
2026-05-04T15:26:23,medium,player,player,400,40,4.4,48.92
2026-05-04T15:26:23,medium,player,ai,1030,103,2.5,24.02
2026-05-04T15:26:43,medium,player,player,30,3,5.67,49.0
2026-05-04T15:26:43,medium,player,ai,820,82,2.48,23.1
2026-05-04T15:27:22,medium,player,player,160,16,3.81,34.94
2026-05-04T15:27:22,medium,player,ai,670,67,2.55,23.64
2026-05-04T15:28:46,medium,player,player,340,34,4.44,40.12
2026-05-04T15:28:46,medium,player,ai,1360,136,2.55,24.72
2026-05-04T15:30:56,ai_vs_ai,bfs,bfs,560,56,2.3,23.39
2026-05-04T15:30:56,ai_vs_ai,bfs,a_star,1040,104,2.8,27.36
2026-05-04T15:31:37,ai_vs_ai,a_star,bfs,1370,137,2.66,24.9
2026-05-04T15:31:37,ai_vs_ai,a_star,a_star,1130,113,2.77,24.16
2026-05-04T15:31:47,ai_vs_ai,a_star,bfs,830,83,2.52,23.12
